Name,Measurement 1,Measurement 2,Measurement 3,Average measurement,Cluster
Luxx,30,29,30,30,EE
Elkhorn,35,29,29,31,AN
Chestnut,32,34,28,31,AN
Inspire2,33,33,31,32,AN
Jahseh,33,34,31,33,EE
Lore,38,37,34,36,AN
Corgi,37,37,36,37,FE
Stratus,36,39,36,37,AN
KylieMac,38,37,38,38,AN
Livingwater,39,39,36,38,EE
Laila,39,38,39,39,AN
ArthroWeasley,39,35,43,39,
Copper,39,39,39,39,AN
LaviMo,40,38,39,39,EE
Dongwon,41,38,39,39,EE
Jrok,40,38,40,39,EE
Ronnie,36,39,43,39,AN
Cgermain,42,40,39,40,
VitulaEligans,41,44,37,41,
TinoCrisci,42,40,41,41,
Waiphu,44,39,40,41,
TeddyBoy,41,43,40,41,
Atraxa,40,43,42,42,
Jerky,44,38,43,42,
Neumann,45,37,44,42,
TymAbreu,42,44,42,43,
Trishangi1,44,43,42,43,
Vanisius,44,42,43,43,
Blair,44,40,46,43,
YertPhresh,47,39,44,43,
Hunnie,44,45,43,44,
McGonagall,44,44,44,44,
Belthelas,46,47,40,44,
Courtney,45,46,46,46,
Minima,44,47,46,46,
Slentz,45,46,46,46,
Arby,44,48,47,46,
BonaeVitae,51,45,44,47,
Noely,41,50,50,47,
Ciel,49,47,46,47,
SallySpecial,53,43,47,48,
Sandman,48,48,48,48,
PoRanda,53,49,52,51,
BlueFeather,56,54,51,54,
Toulouse,67,49,55,57,
Miaurora,55,59,58,57,
Majesty,61,61,58,60,
Maggie,60,65,61,62,
